graph, size, connectivity, algorithm, repetition, failures, stretch, load, hops, success, cc_size,routing_time, precomputation_time
#Sat Mar  1 17:33:25 2025
2, 23, 1, Outerplanar, 58, 4, 21, 0, 24, 0.750000, 23, 0.000805, 0.016118
2, 23, 1, EdgeDisjointPaths, 58, 4, 4, 0, 13, 0.450000, 23, 0.000802, 0.000000
2, 23, 1, Outerplanar, 59, 4, 18, 0, 20, 0.750000, 23, 0.000797, 0.016380
2, 23, 1, EdgeDisjointPaths, 59, 4, 2, 0, 7, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 60, 4, 23, 0, 25, 0.750000, 23, 0.000154, 0.032409
2, 23, 1, EdgeDisjointPaths, 60, 4, 2, 0, 7, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 61, 4, 6, 0, 7, 0.200000, 23, 0.001141, 0.016203
2, 23, 1, EdgeDisjointPaths, 61, 4, 7, 0, 12, 0.950000, 23, 0.000440, 0.000000
2, 23, 1, Outerplanar, 62, 4, 2, 0, 3, 0.200000, 23, 0.001139, 0.015944
2, 23, 1, EdgeDisjointPaths, 62, 4, 4, 0, 11, 0.950000, 23, 0.000444, 0.000000
2, 23, 1, Outerplanar, 63, 4, 6, 0, 8, 0.200000, 23, 0.000503, 0.021719
2, 23, 1, EdgeDisjointPaths, 63, 4, 0, 0, 6, 0.450000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 64, 4, 2, 0, 4, 0.200000, 23, 0.000793, 0.031765
2, 23, 1, EdgeDisjointPaths, 64, 4, 9, 0, 13, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 65, 4, 8, 0, 9, 0.200000, 23, 0.000795, 0.020755
2, 23, 1, EdgeDisjointPaths, 65, 4, 2, 0, 8, 0.850000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 66, 4, 19, 0, 23, 0.750000, 23, 0.000799, 0.019808
2, 23, 1, EdgeDisjointPaths, 66, 4, 1, 0, 5, 0.900000, 23, 0.000572, 0.000000
2, 23, 1, Outerplanar, 67, 4, 25, 0, 26, 0.750000, 23, 0.000735, 0.017127
2, 23, 1, EdgeDisjointPaths, 67, 4, 4, 0, 8, 0.550000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 68, 4, 2, 0, 6, 0.200000, 23, 0.000791, 0.031650
2, 23, 1, EdgeDisjointPaths, 68, 4, 6, 0, 10, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 69, 4, 12, 0, 13, 0.750000, 23, 0.001096, 0.016099
2, 23, 1, EdgeDisjointPaths, 69, 4, 4, 0, 10, 0.950000, 23, 0.000510, 0.000000
2, 23, 1, Outerplanar, 70, 4, 23, 0, 24, 0.750000, 23, 0.000786, 0.015810
2, 23, 1, EdgeDisjointPaths, 70, 4, 6, 0, 13, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 71, 4, 11, 0, 13, 0.750000, 23, 0.000801, 0.032283
2, 23, 1, EdgeDisjointPaths, 71, 4, 3, 0, 8, 0.900000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 72, 4, 21, 0, 24, 0.750000, 23, 0.000813, 0.016026
2, 23, 1, EdgeDisjointPaths, 72, 4, 1, 0, 6, 0.900000, 23, 0.000807, 0.000000
2, 23, 1, Outerplanar, 73, 4, 23, 0, 25, 0.750000, 23, 0.000819, 0.016476
2, 23, 1, EdgeDisjointPaths, 73, 4, 6, 0, 12, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 74, 4, 23, 0, 25, 0.750000, 23, 0.000950, 0.029123
2, 23, 1, EdgeDisjointPaths, 74, 4, 6, 0, 12, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 75, 4, 25, 0, 26, 0.750000, 23, 0.000785, 0.015925
2, 23, 1, EdgeDisjointPaths, 75, 4, 6, 0, 13, 0.950000, 23, 0.000803, 0.000000
2, 23, 1, Outerplanar, 76, 4, 25, 0, 26, 0.750000, 23, 0.000876, 0.015889
2, 23, 1, EdgeDisjointPaths, 76, 4, 6, 0, 12, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 77, 4, 21, 0, 22, 0.750000, 23, 0.001590, 0.014522
2, 23, 1, EdgeDisjointPaths, 77, 4, 8, 0, 13, 0.950000, 23, 0.000000, 0.000000
2, 23, 1, Outerplanar, 78, 4, 21, 0, 23, 0.750000, 23, 0.001588, 0.015684
2, 23, 1, EdgeDisjointPaths, 78, 4, 4, 0, 8, 0.550000, 23, 0.000304, 0.000000
2, 23, 1, Outerplanar, 79, 4, 16, 0, 17, 0.750000, 23, 0.000798, 0.025937
2, 23, 1, EdgeDisjointPaths, 79, 4, 0, 0, 4, 0.900000, 23, 0.000000, 0.000000
